employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Isabella,Smith,Female,Michigan,Warren,2022-04-06,Operations,Logistics Coordinator,Bachelor,57718,Good,Yes,1986-11-05,2022-10-03
00-39958838,Sophia,Brown,Female,New York,New York City,2022-12-13,Marketing,Marketing Manager,Bachelor,79740,Needs Improvement,No,1972-01-16,2023-06-11
00-83197857,Ava,Jackson,Female,New York,New York City,2019-01-12,Customer Service,Help Desk Technician,High School,83036,Good,No,1968-04-17,2019-07-11
00-22575562,Charlotte,Davis,Female,New York,New York City,2020-01-11,Operations,Inventory Specialist,High School,55247,Good,No,1988-11-22,2021-05-12
00-85329037,Elijah,Moore,Male,New York,Buffalo,2019-06-24,Operations,Logistics Coordinator,Bachelor,60728,Excellent,No,1998-07-20,2020-01-23
00-89089901,Harper,Smith,Female,Michigan,Grand Rapids,2022-03-04,Operations,Inventory Specialist,High School,55962,Good,Yes,2000-08-05,2022-08-31
00-66722344,Alexander,Rodriguez,Male,Pennsylvania,Philadelphia,2017-10-24,Sales,Sales Consultant,Bachelor,92631,Satisfactory,No,1996-07-16,2018-12-11
00-55176955,James,Williams,Male,New York,Rochester,2018-05-20,Sales,Sales Consultant,PhD,70368,Satisfactory,No,1981-07-21,2018-11-16
00-56164955,Matthew,Rodriguez,Male,New York,Rochester,2023-10-11,Operations,Logistics Coordinator,Bachelor,68400,Good,No,1986-04-28,2024-04-08
00-71662963,Sebastian,Brown,Male,Michigan,Detroit,2024-05-27,Customer Service,Help Desk Technician,High School,65328,Needs Improvement,No,1984-07-19,2024-11-23
00-20576383,Sebastian,Martinez,Male,Illinois,Chicago,2023-08-29,IT,IT Support Specialist,High School,63987,Good,No,1998-11-30,2024-02-25
00-58537831,Mila,Miller,Female,New York,Buffalo,2022-01-18,Sales,Sales Consultant,PhD,78602,Good,Yes,1992-11-11,2022-07-17
00-98753260,Amelia,Martinez,Female,New York,New York City,2024-11-28,IT,IT Support Specialist,High School,63085,Good,No,1984-06-04,2025-05-27
00-41244663,James,Gonzalez,Male,New York,Buffalo,2017-09-04,Operations,Inventory Specialist,Bachelor,67398,Good,Yes,1971-09-03,2022-07-11
00-58966946,Mia,Lopez,Female,New York,Rochester,2018-09-18,Sales,Sales Consultant,Master,74330,Satisfactory,Yes,1990-03-31,2024-12-23
00-45833156,Ava,Martin,Female,New York,Rochester,2021-07-27,Customer Service,Help Desk Technician,High School,80320,Satisfactory,No,1986-09-17,2023-10-02
00-42857966,Benjamin,Anderson,Male,New York,New York City,2018-12-26,Operations,Inventory Specialist,High School,61400,Needs Improvement,No,1988-02-07,2019-06-24
00-95899313,Avery,Davis,Female,Michigan,Detroit,2022-11-24,Sales,Sales Representative,Bachelor,73274,Needs Improvement,No,1967-11-29,2023-05-23
00-17507864,Amelia,Johnson,Female,North Carolina,Raleigh,2023-06-05,Marketing,Marketing Coordinator,Bachelor,56832,Needs Improvement,No,1992-05-06,2023-12-02
00-45935572,Ava,Miller,Female,New York,Buffalo,2024-08-08,Marketing,SEO Specialist,Bachelor,73115,Excellent,No,1999-03-23,2025-02-04
00-52235350,Elijah,Thomas,Male,New York,Rochester,2019-12-22,IT,System Administrator,Bachelor,73737,Good,No,1985-08-01,2020-06-19
00-96282117,Daniel,Jones,Male,New York,Rochester,2017-04-06,IT,System Administrator,Master,78398,Good,No,1975-06-17,2017-10-03
00-85345555,Sebastian,Rodriguez,Male,New York,Rochester,2022-06-16,Operations,Inventory Specialist,High School,65058,Good,No,1978-10-25,2024-06-10
00-88320463,Jacob,Lopez,Male,New York,Buffalo,2017-02-23,Operations,Logistics Coordinator,Bachelor,59291,Satisfactory,No,1997-09-21,2021-05-18
00-78387461,Henry,Williams,Male,New York,Rochester,2022-12-01,Operations,Inventory Specialist,Bachelor,68768,Excellent,Yes,1980-05-23,2023-05-30
00-24716857,Oliver,Garcia,Male,New York,Rochester,2023-06-13,Operations,Logistics Coordinator,Bachelor,66885,Good,No,1981-06-22,2023-12-10
